"","Is.Non.Annual.","FRP.Active","CRM.Segment","School.Type","MDR.Low.Grade","MDR.High.Grade","Total.School.Enrollment","School.Sponsor","SPR.New.Existing","DepartureMonth","SingleGradeTripFlag","FPP.to.School.enrollment","SchoolSizeIndicator","Retained.in.2012.","NPS.2011","NPS.2008"
"7","1",16,"8","Catholic",11,12,225,"0","EXISTING","January","0",1583,"S","0",8.97,9.07
"13","0",10,"5","PUBLIC",8,8,670,"0","EXISTING","February","1",743,"M-L","1",10,9.45
"14","0",20,"5","PUBLIC",8,8,750,"0","EXISTING","February","1",914,"M-L","1",10,10
"22","1",13,"6","PUBLIC",11,12,1693,"0","EXISTING","February","0",282,"L","1",9,9
"23","0",56,"7","PUBLIC",1,7.87,714.74,"0","NEW","February","1",1491.72,"","1",8,8.72
"25","0",15,"10","PUBLIC",9,8,641,"0","EXISTING","February","1",710,"M-L","1",9.8,10
"31","0",27,"5","PUBLIC",8,8,604,"0","EXISTING","February","1",1334,"M-L","1",10,10
"38","0",21,"4","Private non-Christian",13,8,321,"0","NEW","February","0",1356,"S","1",10,9.39
"43","1",37,"5","PUBLIC",8,8,700,"0","EXISTING","February","1",1407,"M-L","0",8.79,8.62
"44","0",18,"4","PUBLIC",5,5,430,"0","EXISTING","February","1",1204,"S-M","1",10,10
"46","0",25,"10","CHD",13,12,522,"0","EXISTING","February","1",1210,"S-M","1",8,7
"52","0",70,"4","PUBLIC",5,6,240,"0","EXISTING","February","1",1904,"S","1",10,10
"56","0",11,"6","PUBLIC",8,7,565,"0","NEW","February","0",550,"S-M","1",10,9.35
"61","1",0,"4","Private non-Christian",13,6,230,"1","EXISTING","March","1",1810,"S","0",9.18,8.97
"71","0",16,"7","PUBLIC",8,8,495,"0","EXISTING","March","1",1681,"S-M","1",10,9
"75","0",20,"10","PUBLIC",8,8,996,"0","EXISTING","March","1",638,"L","1",10,10
"80","0",38,"5","CHD",13,8,864,"1","EXISTING","March","1",1284,"L","1",10,9
"93","0",31,"7","Private non-Christian",13,12,1100,"0","EXISTING","March","1",739,"L","1",10,10
"95","0",58,"5","PUBLIC",9,8,688,"0","EXISTING","March","1",1592,"M-L","1",10,9.65
"100","0",42,"5","Private non-Christian",13,12,957,"0","EXISTING","March","0",1047,"L","1",9.65,10
"108","1",23,"10","PUBLIC",12,8,700,"0","EXISTING","March","0",1132,"M-L","0",10,9.76
"109","0",13,"10","PUBLIC",12,8,1590,"0","EXISTING","March","0",384,"L","1",10,9
"114","0",12,"10","PUBLIC",8,8,1450,"0","EXISTING","March","1",264,"L","1",10,10
"115","0",5,"10","PUBLIC",8,8,995,"0","EXISTING","March","1",335,"L","1",9.79,9
"116","0",6,"10","PUBLIC",8,8,923,"0","NEW","March","1",135,"L","1",10,9.4
"119","0",32,"10","PUBLIC",8,8,760,"0","NEW","March","1",1367,"M-L","1",7,8.54
"120","0",2,"10","PUBLIC",8,8,900,"0","NEW","March","0",50,"L","0",9,8.58
"121","0",13,"10","PUBLIC",8,8,547,"0","EXISTING","March","1",745,"S-M","1",8,9.38
"122","0",9,"5","PUBLIC",12,8,1266,"0","EXISTING","March","0",219,"L","1",10,10
"124","0",13,"10","PUBLIC",8,8,919,"0","EXISTING","March","1",590,"L","1",10,10
"127","0",9,"5","PUBLIC",9,8,638,"0","EXISTING","March","1",462,"M-L","1",9.85,10
"134","0",19,"10","PUBLIC",8,8,1514,"0","EXISTING","March","1",480,"L","1",9,10
"137","0",7,"5","PUBLIC",9,8,1077,"0","EXISTING","March","1",163,"L","1",8,8
"139","0",11,"3","PUBLIC",8,8,449,"0","NEW","March","1",709,"S-M","1",9,9.31
"146","0",0,"8","PUBLIC",11,12,650,"0","NEW","March","0",370,"M-L","0",8.24,7.8
"149","0",21,"7","CHD",1,7.98,653.31,"0","EXISTING","March","1",1002.53,"","1",10,10
"151","0",32,"10","PUBLIC",8,8,767,"0","EXISTING","March","1",1184,"M-L","1",5,10
"154","0",5,"10","PUBLIC",9,8,550,"0","EXISTING","March","1",348,"S-M","1",10,10
"162","0",7,"4","PUBLIC",12,6,172,"0","NEW","March","0",878,"S","0",10,9.27
"169","0",13,"5","PUBLIC",12,8,790,"0","EXISTING","March","1",793,"M-L","1",10,10
"171","0",36,"5","CHD",8,12,800,"1","EXISTING","March","1",1403,"M-L","1",10,10
"175","0",6,"5","PUBLIC",8,8,334,"0","EXISTING","March","1",962,"S","1",9,9.03
"176","0",6,"5","PUBLIC",9,8,388,"0","NEW","March","1",435,"S-M","1",10,9.31
"179","0",4,"10","PUBLIC",8,8,220,"0","NEW","March","1",440,"S","0",10,9.17
"180","1",16,"10","PUBLIC",13,12,465,"0","EXISTING","March","0",1117,"S-M","0",10,9.63
"181","0",9,"10","PUBLIC",13,12,276,"0","NEW","March","0",1140,"S","1",9,9.1
"182","0",8,"10","Private non-Christian",12,12,407,"0","EXISTING","March","1",948,"S-M","1",9.66,9.39
"183","0",9,"10","PUBLIC",8,8,800,"0","EXISTING","March","1",397,"M-L","0",10,9
"186","0",23,"5","PUBLIC",8,8,1019,"0","EXISTING","March","0",698,"L","0",10,10
"194","1",14,"10","Catholic",13,8,220,"0","EXISTING","March","0",1537,"S","0",9.93,9.84
"199","0",6,"4","CHD",13,6,165,"0","EXISTING","March","1",1245,"S","1",10,10
"203","0",26,"4","PUBLIC",12,5,820,"0","EXISTING","March","1",1020,"L","1",10,10
"212","0",6,"5","PUBLIC",8,8,1153,"0","EXISTING","March","0",143,"L","1",10,9.21
"215","0",27,"10","PUBLIC",8,8,225,"0","NEW","March","1",1768,"S","1",10,9.82
"222","0",0,"6","PUBLIC",8,8,1101,"0","NEW","March","0",52,"L","0",7.78,7.85
"223","0",15,"2","CHD",13,8,760,"0","NEW","March","0",881,"M-L","0",10,9.41
"226","0",17,"7","PUBLIC",1,7.9,682.2,"0","NEW","March","1",1062.54,"","1",9,8.72
"227","0",7,"10","PUBLIC",8,8,230,"0","EXISTING","March","1",1175,"S","1",10,10
"229","0",3,"4","PUBLIC",12,6,527,"1","EXISTING","March","1",1130,"S-M","1",10,10
"230","0",19,"10","PUBLIC",9,8,334,"0","EXISTING","March","0",1372,"S","1",10,10
"235","0",18,"10","PUBLIC",8,8,758,"0","EXISTING","March","1",961,"M-L","1",10,10
"236","0",54,"10","PUBLIC",8,8,702,"0","EXISTING","March","1",1718,"M-L","1",10,10
"240","0",9,"4","PUBLIC",12,5,980,"0","EXISTING","March","1",561,"L","0",10,9.38
"241","0",13,"10","PUBLIC",9,8,750,"0","NEW","March","1",486,"M-L","1",9,10
"243","0",22,"2","Private non-Christian",13,12,428,"0","EXISTING","March","1",1274,"S-M","1",10,9.67
"245","0",6,"5","PUBLIC",9,8,970,"0","EXISTING","March","0",405,"L","1",10,10
"252","0",12,"5","PUBLIC",8,8,1110,"0","EXISTING","March","1",415,"L","1",10,10
"254","0",26,"10","PUBLIC",8,8,1038,"0","EXISTING","March","1",861,"L","1",10,10
"256","0",31,"5","PUBLIC",8,8,1103,"0","EXISTING","March","0",983,"L","1",6,7.37
"261","0",37,"10","PUBLIC",8,8,810,"0","EXISTING","March","0",1222,"M-L","1",10,10
"262","0",10,"5","PUBLIC",8,8,650,"0","EXISTING","March","0",585,"M-L","1",10,8
"266","0",10,"8","PUBLIC",11,12,425,"0","NEW","March","0",1238,"S-M","0",10,9.59
"268","0",11,"10","PUBLIC",7,8,520,"0","NEW","March","0",553,"S-M","0",9,8.23
"269","0",81,"5","PUBLIC",8,8,950,"0","NEW","March","1",1588,"L","1",10,9.23333333333333
"273","0",8,"10","PUBLIC",7,8,300,"0","NEW","March","0",872,"S","0",9.81,9.56
"283","0",7,"2","CHD",8,12,220,"0","NEW","March","1",1381,"S","0",10,9.34
"287","0",8,"5","PUBLIC",12,8,250,"0","EXISTING","March","1",1219,"S","1",10,10
"302","1",30,"10","Catholic",13,8,201,"0","EXISTING","March","1",1781,"S","0",9,9.31
"307","0",0,"4","Private non-Christian",13,5,160,"0","NEW","March","1",1327,"S","1",9,8.735
"314","0",15,"5","CHD",12,8,261,"0","NEW","March","1",1398,"S","1",10,9
"319","0",13,"10","Private non-Christian",13,8,150,"0","NEW","March","0",1505,"S","0",10,9.27
"323","0",10,"8","PUBLIC",11,12,1138,"0","NEW","March","0",448,"L","0",10,9.37
"337","0",21,"10","PUBLIC",12,8,492,"0","EXISTING","March","0",1247,"S-M","1",10,10
"343","0",13,"5","PUBLIC",9,8,800,"0","EXISTING","March","0",540,"M-L","0",10,9.56
"349","0",19,"4","PUBLIC",12,6,1000,"0","EXISTING","March","1",785,"L","1",9,9
"362","1",23,"5","PUBLIC",9,9,730,"0","NEW","March","0",1085,"M-L","0",10,9.17
"364","0",4,"6","PUBLIC",8,8,500,"0","EXISTING","March","0",213,"S-M","0",10,9.55
"367","0",7,"5","PUBLIC",8,8,992,"0","EXISTING","March","1",395,"L","1",9.9,10
"374","0",13,"4","PUBLIC",12,6,528,"0","EXISTING","March","0",626,"S-M","1",8,8.65
"378","0",15,"4","PUBLIC",12,6,772,"0","EXISTING","March","0",584,"M-L","1",9.25,10
"391","0",5,"1","PUBLIC",8,8,614,"0","NEW","March","1",155,"M-L","0",8.72,8.44
"395","0",14,"10","CHD",12,8,330,"1","EXISTING","March","1",1469,"S","1",10,10
"406","0",33,"5","Private non-Christian",8,8,155,"0","EXISTING","March","1",1890,"S","1",10,9
"417","1",25,"10","Catholic",9,12,480,"0","EXISTING","March","0",1245,"S-M","1",9,10
"426","0",11,"4","PUBLIC",12,6,652,"0","NEW","March","0",446,"M-L","0",8,8.06
"427","0",10,"10","PUBLIC",8,8,210,"0","NEW","March","0",1407,"S","1",10,9.35
"432","1",42,"8","PUBLIC",11,12,1693,"0","EXISTING","March","0",949,"L","1",9,9
"447","0",21,"5","PUBLIC",8,8,920,"0","EXISTING","April","1",1001,"L","1",10,9
"450","0",11,"5","PUBLIC",9,8,400,"0","EXISTING","April","0",1035,"S-M","1",9,9
"452","0",42,"6","PUBLIC",9,8,936,"0","EXISTING","April","1",1127,"L","1",10,10
"456","0",43,"5","PUBLIC",9,8,1250,"0","EXISTING","April","1",1004,"L","1",9,9
"471","0",8,"6","PUBLIC",9,8,977,"0","NEW","April","0",281,"L","0",8.53,7.51
"484","0",19,"10","PUBLIC",9,8,290,"0","EXISTING","April","1",1578,"S","1",9,9.33
