"","Is.Non.Annual.","FRP.Active","CRM.Segment","School.Type","MDR.Low.Grade","MDR.High.Grade","Total.School.Enrollment","School.Sponsor","SPR.New.Existing","DepartureMonth","SingleGradeTripFlag","FPP.to.School.enrollment","SchoolSizeIndicator","Retained.in.2012.","NPS.2011","NPS.2008"
"1","0",25,"4","PUBLIC",12,5,927,"1","EXISTING","January","1",1214,"L","1",10,10
"2","0",9,"10","PUBLIC",9,8,850,"0","EXISTING","January","1",611,"L","1",9,9.35
"3","0",17,"10","PUBLIC",8,8,955,"0","EXISTING","January","1",593,"L","1",9.75,9.485
"4","1",0,"7","CHD",1,8.25,580.54,"0","EXISTING","January","0",883.34,"","0",10,8.93
"5","0",40,"10","PUBLIC",8,8,720,"0","EXISTING","January","0",1595,"M-L","0",10,9.44
"6","0",9,"8","PUBLIC",3,12,939,"0","NEW","January","0",237,"L","1",10,9.29
"8","0",10,"7","CHD",1,8.34,600.23,"0","EXISTING","January","1",764.06,"","0",10,9.12
"9","0",30,"5","CHD",8,12,500,"0","EXISTING","January","1",1532,"S-M","1",9,9.32
"10","0",51,"5","Private non-Christian",13,8,635,"0","EXISTING","February","1",1531,"M-L","1",9,8.9
"11","0",47,"10","CHD",12,12,746,"1","EXISTING","February","1",1585,"M-L","1",9.77,9.49
"12","0",32,"10","CHD",13,8,650,"1","EXISTING","February","1",1188,"M-L","1",8,8
"15","0",21,"7","PUBLIC",1,7.76,683.45,"0","EXISTING","February","1",970.11,"","1",9.14,10
"16","0",22,"6","PUBLIC",8,8,753,"0","EXISTING","February","1",869,"M-L","1",10,9.75
"17","0",16,"6","PUBLIC",8,8,626,"0","EXISTING","February","1",984,"M-L","1",10,10
"18","0",5,"7","PUBLIC",8,8,467,"0","EXISTING","February","1",473,"S-M","1",9.65,9.43
"19","0",25,"10","PUBLIC",8,8,360,"0","EXISTING","February","1",1545,"S-M","1",10,10
"20","0",33,"1","PUBLIC",7,7,345,"0","NEW","February","1",1677,"S-M","1",10,9.25
"21","0",34,"10","PUBLIC",8,8,664,"0","EXISTING","February","1",1599,"M-L","1",9.715,9.79
"24","0",19,"10","PUBLIC",8,8,760,"0","EXISTING","February","1",1035,"M-L","1",10,9
"26","0",53,"5","CHD",13,12,700,"0","EXISTING","February","1",1511,"M-L","1",9,10
"27","0",9,"5","Private non-Christian",13,12,1300,"0","EXISTING","February","1",171,"L","1",10,10
"28","0",50,"5","PUBLIC",8,8,685,"0","EXISTING","February","1",1874,"M-L","1",10,10
"29","0",27,"5","PUBLIC",8,8,702,"0","EXISTING","February","0",1344,"M-L","1",9,9.07
"30","0",39,"5","PUBLIC",8,8,698,"0","EXISTING","February","0",1559,"M-L","1",10,9
"32","0",78,"10","PUBLIC",8,8,597,"0","EXISTING","February","1",1759,"M-L","1",10,10
"33","1",10,"10","Catholic",12,8,500,"0","EXISTING","February","1",572,"S-M","1",10,10
"34","0",12,"10","PUBLIC",9,8,320,"0","EXISTING","February","0",935,"S","1",10,10
"35","0",28,"5","PUBLIC",9,8,794,"0","EXISTING","February","1",1023,"M-L","1",9,10
"36","0",72,"5","PUBLIC",9,8,955,"0","EXISTING","February","1",1576,"L","1",10,8
"37","0",37,"10","PUBLIC",9,8,966,"0","EXISTING","February","1",996,"L","1",10,10
"39","0",97,"5","PUBLIC",9,12,2393,"0","EXISTING","February","1",1169,"L","1",10,8
"40","0",43,"5","PUBLIC",8,8,783,"1","EXISTING","February","1",1452,"M-L","1",9,8
"41","0",14,"7","PUBLIC",1,7.87,627.48,"0","EXISTING","February","1",883.3,"","1",9,9
"42","0",36,"5","PUBLIC",8,8,700,"0","EXISTING","February","1",1261,"M-L","1",10,10
"45","0",31,"5","Private non-Christian",12,8,562,"0","EXISTING","February","0",1295,"S-M","1",10,9
"47","0",19,"9","PUBLIC",11,12,364,"0","NEW","February","0",1209,"S-M","0",10,8.67
"48","0",4,"10","PUBLIC",9,8,351,"0","EXISTING","February","1",1470,"S-M","1",10,10
"49","0",2,"5","PUBLIC",8,8,1306,"0","EXISTING","February","1",23,"L","1",10,8.83
"50","0",8,"5","PUBLIC",8,8,1008,"0","EXISTING","February","1",245,"L","0",8.87,7
"51","0",9,"5","Private non-Christian",13,8,652,"1","EXISTING","February","1",582,"M-L","1",10,9
"53","0",43,"5","Private non-Christian",13,12,850,"0","EXISTING","February","1",1434,"L","1",9,8.56
"54","0",44,"10","PUBLIC",9,8,880,"0","EXISTING","February","1",1111,"L","1",10,10
"55","0",20,"5","Catholic",13,8,650,"0","NEW","February","1",792,"M-L","1",9,8.455
"57","0",4,"5","CHD",13,12,1325,"1","EXISTING","February","0",92,"L","1",9.28,9.26
"58","0",11,"5","CHD",13,8,412,"1","EXISTING","February","1",980,"S-M","1",9,9.34
"59","0",46,"10","CHD",13,12,750,"0","EXISTING","March","1",1432,"M-L","1",10,10
"60","0",37,"10","PUBLIC",9,9,824,"0","EXISTING","March","1",1279,"L","1",10,9.48
"62","0",38,"5","Private non-Christian",13,12,1023,"0","EXISTING","March","1",1228,"L","1",10,10
"63","0",2,"8","PUBLIC",11,12,1688,"0","NEW","March","0",119,"L","0",10,9
"64","1",12,"10","Catholic",13,8,200,"0","EXISTING","March","0",1542,"S","0",10,9.17
"65","0",50,"10","Private non-Christian",13,12,1555,"0","EXISTING","March","1",925,"L","1",10,10
"66","1",36,"4","PUBLIC",13,5,400,"0","EXISTING","March","0",1658,"S-M","0",10,9.42
"67","0",0,"4","Private non-Christian",12,6,280,"1","EXISTING","March","1",1443,"S","1",2,9
"68","0",94,"5","PUBLIC",8,8,1232,"0","EXISTING","March","1",1584,"L","1",9,10
"69","0",65,"10","PUBLIC",9,8,478,"0","EXISTING","March","1",1804,"S-M","1",10,9
"70","0",34,"2","PUBLIC",8,8,669,"0","EXISTING","March","1",1363,"M-L","1",10,9.78
"72","0",88,"5","PUBLIC",8,8,586,"0","EXISTING","March","0",1811,"M-L","1",9,8
"73","0",17,"5","Catholic",13,7,900,"0","EXISTING","March","0",603,"L","1",10,10
"74","0",16,"10","PUBLIC",8,8,835,"0","NEW","March","1",863,"L","1",7,8.64
"76","0",46,"8","PUBLIC",11,12,497,"0","NEW","March","1",1819,"S-M","1",10,9.01
"77","0",1,"10","CHD",13,12,310,"0","EXISTING","March","1",1525,"S","1",10,9
"78","0",11,"10","CHD",13,12,550,"0","EXISTING","March","1",739,"S-M","1",10,10
"79","0",16,"10","PUBLIC",12,8,610,"0","EXISTING","March","1",1553,"M-L","1",10,10
"81","0",33,"5","PUBLIC",9,12,792.66,"1","EXISTING","March","1",1326.58,"","1",10,9.76
"82","1",41,"10","CHD",13,8,365,"0","EXISTING","March","0",1714,"S-M","0",10,10
"83","0",3,"5","PUBLIC",9,8,511,"0","EXISTING","March","1",599,"S-M","1",10,10
"84","0",26,"5","Private non-Christian",8,12,372,"0","EXISTING","March","1",1472,"S-M","1",9,9.08
"85","0",28,"10","PUBLIC",8,8,375,"0","EXISTING","March","0",1348,"S-M","1",10,9
"86","0",17,"7","PUBLIC",1,7.98,665.65,"0","NEW","March","0",879.13,"","0",8,8.73
"87","0",50,"10","PUBLIC",8,8,682,"0","EXISTING","March","1",1565,"M-L","1",9,10
"88","0",0,"7","CHD",1,8.25,611.67,"0","EXISTING","March","1",961.48,"","1",10,9.17
"89","0",3,"10","PUBLIC",4,12,2159,"0","EXISTING","March","0",18,"L","0",8.56333333333333,8.24
"90","1",22,"5","Private non-Christian",13,12,1100,"0","EXISTING","March","1",670,"L","1",10,10
"91","0",18,"7","Private non-Christian",13,12,1100,"0","EXISTING","March","1",505,"L","1",10,10
"92","0",0,"5","Catholic",13,8,428,"0","EXISTING","March","0",1645,"S-M","1",10,10
"94","1",34,"10","PUBLIC",9,8,552,"0","EXISTING","March","0",1421,"S-M","0",10,9.75
"96","0",16,"10","PUBLIC",7,8,330,"0","EXISTING","March","1",1485,"S","1",8,8.645
"97","0",18,"10","CHD",12,12,315,"0","EXISTING","March","1",1583,"S","0",9,8.795
"98","0",6,"10","PUBLIC",9,8,650,"0","EXISTING","March","0",553,"M-L","0",10,9.38
"99","0",149,"5","PUBLIC",9,8,468,"0","EXISTING","March","1",1900,"S-M","1",10,10
"101","0",49,"5","PUBLIC",8,9,1102,"0","EXISTING","March","1",1289,"L","1",10,9
"102","0",27,"10","PUBLIC",9,9,780,"1","EXISTING","March","0",1092,"M-L","1",10,9
"103","0",12,"5","Catholic",12,8,570,"0","EXISTING","March","1",719,"S-M","0",8,9
"104","0",0,"4","Private non-Christian",13,6,350,"1","EXISTING","March","1",1521,"S-M","1",9,9
"105","0",24,"5","CHD",13,12,1140,"0","EXISTING","March","1",598,"L","1",9.36333333333333,9.22
"106","0",34,"10","PUBLIC",8,8,1165,"0","NEW","March","0",919,"L","1",10,9.6
"107","1",6,"10","CHD",12,12,452,"0","NEW","March","0",485,"S-M","0",8.29,8.235
"110","0",13,"10","Private non-Christian",12,12,780,"0","EXISTING","March","1",633,"M-L","1",10,9
"111","1",9,"10","CHD",13,8,184,"0","EXISTING","March","0",1612,"S","0",10,10
"112","0",21,"10","PUBLIC",8,8,760,"0","EXISTING","March","1",1019,"M-L","1",10,9.8
"113","0",11,"10","CHD",13,8,165,"1","EXISTING","March","1",1524,"S","1",9.08,8.98
"117","0",3,"10","PUBLIC",8,8,996,"0","EXISTING","March","0",65,"L","1",10,9.52
"118","0",18,"10","PUBLIC",8,8,1249,"0","EXISTING","March","1",471,"L","1",10,10
"123","1",37,"5","CHD",2,12,675,"0","EXISTING","March","0",1257,"M-L","0",10,10
"125","0",10,"5","PUBLIC",8,8,900,"0","EXISTING","March","1",313,"L","1",10,9.64
"126","0",7,"5","PUBLIC",12,8,875,"0","NEW","March","0",357,"L","1",10,9.52
"128","0",11,"10","PUBLIC",8,8,1318,"0","EXISTING","March","1",302,"L","1",10,10
"129","1",22,"5","PUBLIC",8,8,743,"0","NEW","March","0",977,"M-L","0",10,10
"130","0",23,"10","PUBLIC",9,8,220,"0","EXISTING","March","0",1740,"S","0",9,8
"131","0",7,"10","PUBLIC",9,8,429,"0","NEW","March","1",650,"S-M","0",10,9.28
"132","0",4,"10","PUBLIC",8,8,509,"0","EXISTING","March","1",383,"S-M","1",9.51,9.19
"133","0",20,"5","CHD",13,12,717,"0","EXISTING","March","1",815,"M-L","1",10,9
"135","0",5,"10","PUBLIC",8,8,239,"0","NEW","March","1",1461,"S","0",7.99,8.41
"136","0",4,"10","PUBLIC",8,8,947,"0","NEW","March","1",169,"L","0",10,9.37
"138","0",38,"10","PUBLIC",8,8,625,"0","EXISTING","March","1",1570,"M-L","1",10,10
"140","0",6,"5","PUBLIC",9,8,783,"0","EXISTING","March","0",183,"M-L","1",9.27,9.2
"141","0",3,"8","PUBLIC",11,9,740,"0","EXISTING","March","0",358,"M-L","1",9,10
"142","0",30,"10","PUBLIC",8,8,1305,"0","EXISTING","March","1",826,"L","1",10,8
"143","0",7,"5","PUBLIC",8,8,1032,"0","EXISTING","March","1",347,"L","1",10,9.33
"144","0",11,"7","PUBLIC",9,8,497,"0","EXISTING","March","0",728,"S-M","1",9,10
"145","0",5,"5","PUBLIC",8,8,650,"0","EXISTING","March","1",585,"M-L","1",10,9.73
"147","0",54,"10","PUBLIC",8,8,767,"0","EXISTING","March","1",1573,"M-L","1",10,9
"148","0",4,"10","PUBLIC",8,8,1360,"0","EXISTING","March","0",68,"L","0",8.49,8.32
"150","0",27,"10","PUBLIC",8,8,487,"0","EXISTING","March","1",1497,"S-M","1",10,9
"152","1",16,"10","PUBLIC",8,8,475,"0","EXISTING","March","0",1038,"S-M","0",10,9.67333333333333
"153","1",25,"10","PUBLIC",8,8,772,"0","EXISTING","March","0",895,"M-L","0",9.95,9.76
